x,Value,sin(x),cos(x),cot(x),sec(x),csc(x),ln(x),log_3(x),log_5(x)
-10.0,-0.08637215624637218,0.5440211108891456,-0.8390715290762734,-1.5423510453572264,-1.1917935066881502,1.838163960890423,Null,Null,Null
-9.99,-0.11227330978717287,0.5356033346140827,-0.8444696962886101,-1.5766699751730902,-1.184175115335619,1.8670533496968016,Null,Null,Null
-9.98,-0.13922046913992725,0.5271319984518926,-0.8497834172350389,-1.6120884706880345,-1.1767704331695767,1.897058047959239,Null,Null,Null
-9.97,-0.1672756209834514,0.5186079495291319,-0.8550121605478931,-1.6486676714543194,-1.169574008583923,1.9282388573255502,Null,Null,Null
-9.96,-0.196505311503949,0.5100320402435874,-0.8601554033571991,-1.6864732712603614,-1.1625806175221192,1.9606611371364193,Null,Null,Null
-9.95,-0.22698108007479734,0.5014051281790415,-0.865212631342963,-1.7255759518957559,-1.1557852529820596,1.9943952381015946,Null,Null,Null
-9.94,-0.258779943443713,0.4927280760195165,-0.8701833387865987,-1.7660518674241967,-1.149183115128842,2.029516986485647,Null,Null,Null
-9.93,-0.29198493742552234,0.48400175146299196,-0.8750670286215051,-1.8079831859625306,-1.1427696019758646,2.066108225801457,Null,Null,Null
-9.92,-0.3266857242290433,0.4752270271346556,-0.8798632124827686,-1.8514586970943874,-1.136540300597673,2.1042574241398313,Null,Null,Null
-9.91,-0.3629792748871443,0.4664047804996261,-0.8845714107559997,-1.896574494387518,-1.1304909788406448,2.144060356604346,Null,Null,Null
-9.9,-0.4009706378526947,0.4575358937752145,-0.889191152625295,-1.94343474407748,-1.1246175775001215,2.185620873913984,Null,Null,Null
-9.89,-0.44077380672571076,0.4486212538427034,-0.8937219761203173,-1.9921525528830075,-1.1189162029348767,2.229051770138876,Null,Null,Null
-9.88,-0.48251270235543275,0.4396617521586578,-0.8981634281624931,-2.0428509501967747,-1.113383120091907,2.2744757648128022,Null,Null,Null
-9.87,-0.5263222873001112,0.4306582846657777,-0.9025150646103197,-2.095664002634333,-1.108014745916481,2.3220266174051964,Null,Null,Null
-9.86,-0.5723498339327477,0.42161175170331355,-0.9067764503037768,-2.150738082229434,-1.1028076431241598,2.3718503954408177,Null,Null,Null
-9.85,-0.6207563714863409,0.4125230579170192,-0.9109471591078484,-2.2082333135693215,-1.097758514313132,2.424106921560623,Null,Null,Null
-9.84,-0.6717183422050002,0.4033931121687018,-0.9150267739551288,-2.2683252300362984,-1.0928641963967691,2.478971429690136,Null,Null,Null
-9.83,-0.7254295027233786,0.39422282744532644,-0.9190148868875327,-2.3312066752780525,-1.0881216553376443,2.53663646643772,Null,Null,Null
-9.82,-0.7821031141081787,0.38501312076772376,-0.9229110990970908,-2.397089993340455,-1.0835279811656047,2.5973140811564557,Null,Null,Null
-9.81,-0.8419744730158136,0.37576491309888743,-0.926715020965829,-2.466209559916926,-1.0790803832636626,2.6612383571236653,Null,Null,Null
-9.8,-0.9053038476037276,0.3664791292518781,-0.9304262721047304,-2.5388247183518495,-1.07477618590658,2.728668347475548,Null,Null,Null
-9.79,-0.9723798957724132,0.3571566977973391,-0.9340444813917742,-2.615223197975074,-1.0706128240380466,2.799891493473905,Null,Null,Null
-9.78,-1.0435236607861924,0.3477985509706517,-0.9375692870090458,-2.69572510981554,-1.0665878392733141,2.875227620152975,Null,Null,Null
-9.77,-1.1190932613472366,0.33840562457869794,-0.9410003364789209,-2.7806876367685387,-1.062698876115015,2.9550336264208426,Null,Null,Null
-9.76,-1.1994894211361808,0.32897885790629083,-0.9443372866993129,-2.87051056322989,-1.0589436783707247,3.0397090146286803,Null,Null,Null
-9.75,-1.2851620185045647,0.319519193622239,-0.9475798039779797,-2.965642824882326,-1.0553200857615983,3.1297024402930846,Null,Null,Null
-9.74,-1.3766178828429902,0.31002757768698047,-0.9507275640658961,-3.0665903051560104,-1.051826030712084,3.2255195084924044,Null,Null,Null
-9.73,-1.474430123644268,0.3005049592502877,-0.9537802521896759,-3.1739251643939808,-1.0484595353114237,3.327732102973747,Null,Null,Null
-9.72,-1.5792493554063771,0.29095229056809796,-0.9567375630830506,-3.2882970648382788,-1.045218708438224,3.436989611071469,Null,Null,Null
-9.71,-1.6918172840351886,0.2813705268993196,-0.9595992010173954,-3.4104467571358694,-1.0421017430399802,3.5540325101563375,Null,Null,Null
-9.7,-1.8129832550799758,0.2717606264123318,-0.9623648798322431,-3.5412226286676436,-1.0391069135589377,3.6797089158999032,Null,Null,Null
-9.69,-1.9437245456186627,0.26212355008917854,-0.9650343229600422,-3.6816009955294837,-1.0362325735034044,3.8149948742102127,Null,Null,Null
-9.68,-2.085171426604509,0.25246026162945817,-0.9676072634597467,-3.8327111649750507,-1.0334771531421032,3.961019423594369,Null,Null,Null
-9.67,-2.238638357346905,0.24277172735396416,-0.9700834440394497,-3.9958666299929404,-1.0308391573367928,4.119095789692132,Null,Null,Null
-9.66,-2.4056631370609542,0.2330589161080494,-0.9724626170831558,-4.172604220952905,-1.028317163491015,4.290760536860928,Null,Null,Null
-9.65,-2.5880564865500357,0.22332279916474526,-0.9747445446755432,-4.36473368738529,-1.0259098196162395,4.4778231498983665,Null,Null,Null
-9.64,-2.787965452380491,0.21356435012763156,-0.9769289986257533,-4.5744011022528595,-1.0236158425092312,4.682429438257716,Null,Null,Null
-9.63,-3.0079553483171537,0.20378454483347935,-0.9790157604902112,-4.804170803483673,-1.0214340160359436,4.907143477524955,Null,Null,Null
-9.62,-3.251116880852921,0.1939843612546664,-0.9810046215944689,-5.0571325195982535,-1.019363189517555,5.1550547349906255,Null,Null,Null
-9.61,-3.5212079765257203,0.18416477940138629,-0.9828953830540722,-5.337043197124333,-1.0174022762145651,5.429919897009757,Null,Null,Null
-9.6,-3.8228441741490853,0.1743267812236421,-0.9846878557944511,-5.648517392925444,-1.0155502519051534,5.736353261276074,Null,Null,Null
-9.59,-4.161758157564365,0.16447135051304954,-0.9863818605698247,-5.997286807051316,-1.0138061535542717,6.080086269618475,Null,Null,Null
-9.58,-4.5451596090002955,0.15459947280446837,-0.9879772279811265,-6.390560136195828,-1.0121690780701913,6.468327361405446,Null,Null,Null
-9.57,-4.982243739630667,0.14471213527744145,-0.9894737984929454,-6.837531604353226,-1.0106381811454603,6.910270504148146,Null,Null,Null
-9.56,-5.484925462621835,0.13481032665748463,-0.9908714224494759,-7.350115135964349,-1.0092126761794764,7.417829366593856,Null,Null,Null
-9.55,-6.068925344409591,0.12489503711720547,-0.9921699600894875,-7.944030307292385,-1.0078918332800624,8.0067232700493,Null,Null,Null
-9.54,-6.755421047450017,0.11496725817729435,-0.9933692815602986,-8.640453789272724,-1.0066749783416762,8.698128631178374,Null,Null,Null
-9.53,-7.573640463229534,0.10502798260737517,-0.9944692669307597,-9.46861248062216,-1.0055614921980545,9.52127209505954,Null,Null,Null
-9.52,-8.565088794582286,0.09507820432672105,-0.9954698062032518,-10.470010590255564,-1.0045508098472886,10.517657617550915,Null,Null,Null
-9.51,-9.790751686757302,0.08511891830486727,-0.9963707993246802,-11.705632768452435,-1.0036424197475273,11.74826959640555,Null,Null,Null
-9.5,-11.344043853726657,0.07515112046211792,-0.9971721561964842,-13.268892733264536,-1.0028358631816416,13.306521497627953,Null,Null,Null
-9.49,-13.375669591827084,0.06517580756994903,-0.9978737966836438,-15.310493784257135,-1.0021307336893928,15.343116369164491,Null,Null,Null
-9.48,-16.145494806260537,0.05519397715133863,-0.9984756506226949,-18.090300829109193,-1.0015266765657775,18.117918867452858,Null,Null,Null
-9.47,-20.14324215233179,0.0452066273810088,-0.9989776578287453,-22.098035524950784,-1.0010233884243986,22.120650398708968,Null,Null,Null
-9.46,-26.414787801029032,0.035214756985614756,-0.9993797681014922,-28.37957304404342,-1.0006206168248593,28.397185884556876,Null,Null,Null
-9.45,-37.66467640648563,0.02521936514386741,-0.9996819412302439,-39.63945704134176,-1.0003181599633226,39.652068729540154,Null,Null,Null
-9.44,-63.70436774899716,0.015221451386624424,-0.9998841469979383,-65.68914629761052,-1.000115866425535,65.69675746418847,Null,Null,Null
-9.43,-189.49955323153452,0.005222015496928818,-0.9999863651841681,-191.49433121603755,-1.0000136350017428,191.4969422415774,Null,Null,Null
-9.42,211.2974947842802,-0.004777942589964055,-0.9999885855671992,209.29271684169024,-1.0000114145630916,-209.29510582661126,Null,Null,Null
-9.41,69.67818636770124,-0.014777422886578065,-0.9998908079249952,67.66340894481466,-1.000109203999216,-67.67079805967204,Null,Null,Null
-9.4,42.374962102283554,-0.02477542545321797,-0.9996930420352387,40.350186676830326,-1.0003070522168849,-40.36257629110116,Null,Null,Null
-9.39,30.777019677149585,-0.03477095049795639,-0.9993953076743539,28.742248726651628,-1.000605058199696,-28.75963945992139,Null,Null,Null
-9.38,24.362249954523744,-0.044762998476620214,-0.9989976346155289,22.317486956047123,-1.0010033711289585,-22.33987967812973,Null,Null,Null
-9.37,20.292004704910955,-0.054750570192740565,-0.9985000626257376,18.237254134718214,-1.0015021905660355,-18.264649965829783,Null,Null,Null
-9.36,17.48048315717827,-0.06473266689746403,-0.997902641461765,15.415750490280804,-1.0021017666965615,-15.448150801263775,Null,Null,Null
-9.35,15.42269719050976,-0.07470829038944138,-0.9972054308652292,13.34798890012032,-1.0028024006370946,-13.385395312717948,Null,Null,Null
-9.34,13.851922018223066,-0.08467644311463496,-0.9964085005566088,11.76724557510843,-1.0036044448049017,-11.809659962289631,Null,Null,Null
-9.33,12.614000650758742,-0.09463612826608037,-0.9955119302282708,10.519364522492662,-1.004508303351724,-10.56678900882742,Null,Null,Null
-9.32,11.613626589300184,-0.10458634988356234,-0.9945158095365005,9.509040239416624,-1.005514432662519,-9.56147720150207,Null,Null,Null
-9.31,10.788707157571444,-0.1145261129532096,-0.9934202380925377,8.674181044618235,-1.0066233419203299,-8.731633111555587,Null,Null,Null
-9.3,10.09705433191288,-0.1244544235069997,-0.9922253254526127,7.972599908405882,-1.0078355937385903,-8.035069962328473,Null,Null,Null
-9.29,9.509000502965588,-0.1343702887221517,-0.9909311911069941,7.374630214243437,-1.0091518048623285,-7.442121390896024,Null,Null,Null
-9.28,9.003074470425313,-0.1442727170204042,-0.9895379644680385,6.858801753404909,-1.0105726469399137,-6.93131744277452,Null,Null,Null
-9.27,8.563353647495305,-0.154160718167182,-0.9880457848572484,6.409192929328123,-1.012098847367158,-6.486736776326732,Null,Null,Null
-9.26,8.17778039753597,-0.16403330337060837,-0.9864548014913413,6.013747094165362,-1.0137311902057558,-6.0963229993646575,Null,Null,Null
-9.25,7.837056360094547,-0.17388948538039212,-0.9847651734673282,5.663166874714156,-1.0154705171782532,-5.750778995132737,Null,Null,Null
-9.24,7.533895804831417,-0.18372827858654495,-0.9829770697466037,5.350167526244872,-1.0173177287419173,-5.442820276188194,Null,Null,Null
-9.23,7.2625089846094495,-0.19354869911794537,-0.9810906691374097,5.068960285491505,-1.019273785244758,-5.166658337448275,Null,Null,Null
-9.22,7.018236866310114,-0.20334976494072385,-0.9791061602795889,4.814887101369391,-1.0213397081624374,-4.9176353869476985,Null,Null,Null
-9.21,6.7972879026056745,-0.2131304959564656,-0.977023741621651,4.584157406649209,-1.0235165814294476,-4.69196111758808,Null,Null,Null
-9.2,6.59654506731364,-0.2228899141002207,-0.9748436214037266,4.373655153213419,-1.0258055528537484,-4.486519742433738,Null,Null,Null
-9.19,6.413422204917265,-0.2326270434383053,-0.9725660176360228,4.180795161478961,-1.0282078356291533,-4.298726344193119,Null,Null,Null
-9.18,6.245755591701169,-0.24234091026752905,-0.9701911580770183,4.00341468143364,-1.0307247099448575,-4.126418436309673,Null,Null,Null
-9.17,6.091721034290604,-0.25203054320592344,-0.967719280210691,3.8396904910846805,-1.033357524696915,-3.967773061469548,Null,Null,Null
-9.16,5.94976975384321,-0.26169497330003194,-0.9651506312227678,3.6880747805431766,-1.036107699306046,-3.8212426757372415,Null,Null,Null
-9.15,5.818578270705004,-0.27133323411489635,-0.9624854679760076,3.547245036590107,-1.0389767256464464,-3.6855050331819985,Null,Null,Null
